Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Texas,US,2020-07-30 04:35:17,31.0545,-97.5635,420556,6583,251346.0,161456.0,48.0,1445.0155868690454,3539368.0,,1.4780605973818304,84000048.0,USA,12206.450978330337,,,
Texas,US,2020-07-17 04:35:02,31.0545,-97.5635,306424,3915,155937.0,146260.0,48.0,1054.8187861579372,2699855.0,,1.1956685215821927,84000048.0,USA,9311.167334422433,,,
Texas,US,2020-07-18 04:34:58,31.0545,-97.5635,318175,4064,162191.0,151757.0,48.0,1095.907380775911,2767321.0,,1.2021348908637748,84000048.0,USA,9543.84176152468,,,
Texas,US,2020-08-21 04:30:30,31.0545,-97.5635,584628,11536,431960.0,136758.0,48.0,1999.91164262262,4547069.0,,1.926910528167314,84000048.0,USA,15681.775628752235,,,
Texas,US,2020-08-22 04:30:29,31.0545,-97.5635,590409,11769,438825.0,135389.0,48.0,2019.7075577734645,4580026.0,,1.949688541609748,84000048.0,USA,15795.436600115718,,,
Texas,US,2020-08-01 04:36:46,31.0545,-97.5635,440681,6979,273191.0,158526.0,48.0,1511.569867458071,3669752.0,,1.500366193391179,84000048.0,USA,12656.11484610521,,,
Texas,US,2020-08-15 04:30:23,31.0545,-97.5635,545700,10439,383717.0,145878.0,48.0,1861.205734704181,4282041.0,,1.867427127167748,84000048.0,USA,14767.75615129611,,,
Texas,US,2020-08-16 04:30:18,31.0545,-97.5635,552814,10629,393266.0,143018.0,48.0,1884.9297939938435,4321676.0,,1.878686748927824,84000048.0,USA,14904.447980042409,,,
Texas,US,2020-08-10 04:35:08,31.0545,-97.5635,507929,9523,344845.0,149326.0,48.0,1735.86034512971,4025864.0,,1.8192908004323225,84000048.0,USA,13884.261699101333,,,
Texas,US,2020-08-09 04:35:07,31.0545,-97.5635,502563,9414,338343.0,150231.0,48.0,1716.2161756699168,4012657.0,,1.820220564593917,84000048.0,USA,13838.713850425856,,,
